-rwxr-xr-x 1 root root 2.4M May 31 16:40 /usr/bin/Xephyr
-rw-r--r-- 1 root root 2.4M Mar 30  2018 /usr/lib/x86_64-linux-gnu/libprotobuf.so.10.0.0
-rw-r--r-- 1 root root 2.4M Mar 20  2019 /usr/lib/x86_64-linux-gnu/libqmi-glib.so.5.4.0
-rw-r--r-- 1 root root 2.4M Jun  4 15:29 /lib/x86_64-linux-gnu/liblvm2cmd.so.2.02
-rw-r--r-- 1 root root 2.4M Jul 12 20:24 /lib/firmware/iwlwifi-8265-36.ucode
-rw-r--r-- 1 root root 2.4M Jul 12 20:24 /lib/firmware/iwlwifi-8000C-36.ucode
-rw-r--r-- 1 root root 2.4M Feb 10  2019 /var/lib/aspell/en-common.rws
-rw-r--r-- 1 root root 2.4M Aug  9  2017 /usr/lib/x86_64-linux-gnu/libgsl.so.23.0.0
-rw-r--r-- 1 root root 2.4M Apr 25  2018 /lib/firmware/iwlwifi-8265-34.ucode
-rw-r--r-- 1 root root 2.4M Apr 25  2018 /lib/firmware/iwlwifi-8000C-34.ucode
-rw-r--r-- 1 root root 2.3M Sep  5 09:29 /lib/systemd/libsystemd-shared-237.so
-rw-r--r-- 1 root root 2.3M Oct 14 17:58 /var/lib/dpkg/status-old
-rw-r--r-- 1 root root 2.3M Oct 14 17:58 /var/lib/dpkg/status
